,name,rating,reviews,salary,company_type,headquarter
0,TCS,3.8,69300,847200.0,IT Services & Consulting ,Mumbai
1,Accenture,4.0,43900,578500.0,IT Services & Consulting ,Dublin
2,Cognizant,3.9,39600,557500.0,IT Services & Consulting ,Teaneck. New Jersey.
3,Wipro,3.8,36900,410800.0,IT Services & Consulting ,Bangalore/Bengaluru
4,HDFC Bank,3.9,31800,130000.0,Banking ,Mumbai
5,ICICI Bank,4.0,31700,142400.0,Banking ,Mumbai
6,Infosys,3.9,30000,461700.0,IT Services & Consulting ,Bengaluru/Bangalore
7,Capgemini,3.8,27900,371700.0,IT Services & Consulting ,Paris
8,HCLTech,3.7,26700,286300.0,IT Services & Consulting ,Noida
9,Tech Mahindra,3.7,26100,250700.0,IT Services & Consulting ,Pune
10,Genpact,3.9,24900,189100.0,IT Services & Consulting ,New York
11,Axis Bank,3.8,20800,96100.0,Banking ,Mumbai
12,Concentrix Corporation,3.9,20600,103400.0,BPO ,Fremont
13,Amazon,4.1,19800,140800.0,Internet ,Seattle
14,Teleperformance,3.6,19600,74300.0,BPO ,Paris
15,Reliance Jio,3.9,19000,67600.0,Telecom ,Navi Mumbai
16,IBM,4.1,18900,224000.0,Software Product ,Armonk
17,Larsen & Toubro Limited,4.0,17700,78200.0,Engineering & Construction ,Mumbai
18,Reliance Retail,3.9,17300,57000.0,Retail ,Navi Mumbai
19,HDB Financial Services,4.0,16700,49600.0,NBFC ,Ahmedabad
20,Vodafone Idea,4.2,14800,61200.0,5k-10k Employees ,Mumbai
21,BYJU'S,3.1,13900,55500.0,EdTech ,Bangalore
22,Deloitte,3.9,13700,173100.0,Management Consulting ,London
23,Kotak Mahindra Bank,3.8,13400,77200.0,Banking ,Mumbai
24,Reliance Industries,4.0,12600,65800.0,Oil & Gas ,Navi Mumbai
25,Bharti Airtel,4.0,11600,44400.0,Telecom ,Gurgaon/Gurugram
26,Tata Motors,4.2,10600,42500.0,Automobile ,Pune
27,iEnergizer,4.6,10300,17400.0,BPO ,Noida
28,Flipkart,4.1,9300,46700.0,Internet ,Bangalore
29,WNS,3.5,9100,54100.0,BPO ,Mumbai
30,IndusInd Bank,3.7,8600,46300.0,Banking ,Gurgaon/Gurugram
31,Mahindra & Mahindra,4.1,8400,37900.0,Automobile ,Mumbai
32,Ernst & Young,3.6,8400,122200.0,Management Consulting ,London
33,AU Small Finance Bank,4.5,8300,18100.0,Banking ,Jaipur
34,Infosys BPM,3.9,7900,57300.0,BPO ,Bangalore/Bengaluru
35,DXC Technology,3.8,7800,82800.0,IT Services & Consulting ,Minato
36,IDFC FIRST Bank,4.0,7600,38600.0,Banking ,Mumbai
37,Conneqt Business Solutions,3.7,7300,25000.0,BPO ,Mumbai
38,HDFC Life,4.0,7200,25800.0,Insurance ,Mumbai
39,LTIMindtree,3.7,7100,93100.0,IT Services & Consulting ,Bangalore/Bengaluru
40,Bajaj Finserv,4.0,6800,24900.0,Insurance ,Pune
41,Mphasis,3.5,6600,63600.0,IT Services & Consulting ,Bangalore/Bengaluru
42,HSBC Group,4.1,6600,61000.0,Banking ,Pune
43,PwC,3.6,6600,81100.0,Management Consulting ,London
44,Samsung,4.1,6500,21500.0,Consumer Electronics & Appliances ,Seoul
45,Hinduja Global Solutions,3.9,6500,25600.0,IT Services & Consulting ,Bangalore/Bengaluru
46,Startek,3.2,6500,22800.0,BPO ,Mumbai
47,Ericsson,4.3,6300,45000.0,10k-50k Employees ,Stockholm
48,Maruti Suzuki,4.2,6200,25500.0,Automobile ,New Delhi
49,Yes Bank,3.9,6000,40800.0,Banking ,Mumbai
50,Asian Paints,4.1,6000,21200.0,Chemicals ,Mumbai
51,Cipla Pharmaceutical,4.1,5800,24000.0,Pharma ,Mumbai
52,Dr. Reddy's,4.1,5800,24000.0,Pharma ,Hyderabad/Secunderabad
53,Sutherland Global Services,3.8,5700,27300.0,IT Services & Consulting ,Pittsford
54,EXL Service,3.8,5600,36400.0,Analytics & KPO ,New York City
55,UltraTech Cement,4.2,5600,20900.0,Building Material ,Mumbai
56,NTT DATA,4.0,5500,52500.0,10k-50k Employees ,Chiyoda City
57,Bandhan Bank,3.8,5400,18900.0,Banking ,Kolkata
58,ICICI Prudential Life Insurance,4.1,5400,22300.0,Insurance ,Mumbai
59,TATA Steel,4.1,5400,22100.0,Iron & Steel ,Mumbai
60,Paytm,3.4,5400,29800.0,FinTech ,Noida
61,Jana Small Finance Bank,3.8,5300,15600.0,Banking ,Bangalore/Bengaluru
62,Lupin,4.1,5200,22700.0,Pharma ,Mumbai
63,HCL Group,3.7,5200,71200.0,IT Services & Consulting ,Chennai
64,Indian Army,4.7,5100,9900.0,Defence & Aerospace ,New Delhi
65,Bajaj Finance,4.0,5100,19300.0,NBFC ,Pune
66,Udaan,4.0,5100,19700.0,Internet ,Bangalore
67,L&T Infotech,3.8,5000,74400.0,IT Services & Consulting ,Mumbai
68,ITC,3.9,4900,22900.0,FMCG ,Kolkata
69,Zydus Lifesciences,4.1,4900,17800.0,Pharma ,Ahmedabad
70,Wells Fargo,4.1,4800,45800.0,Banking ,San Francisco
71,Delhivery,4.0,4800,16300.0,10k-50k Employees ,Delhi
72,JP Morgan Chase,4.2,4800,71800.0,Financial Services ,New York
73,Quess,4.0,4700,22800.0,Recruitment ,Bangalore
74,FIS,3.9,4700,39200.0,FinTech ,Jacksonville
75,Hindustan Unilever,4.2,4700,21100.0,FMCG ,London
76,Amazon Development Centre India,4.2,4700,6000.0,Internet ,Hyderabad/Secunderabad
77,IIFL Finance,3.9,4600,17800.0,NBFC ,Mumbai
78,Hexaware Technologies,3.7,4500,45200.0,IT Services & Consulting ,Mumbai
79,JSW Steel,3.9,4400,23900.0,Iron & Steel ,Mumbai
80,Sun Pharmaceutical Industries,4.1,4400,20100.0,Pharma ,Mumbai
81,Home Credit Finance,4.1,4300,11500.0,Financial Services ,Gurugram
82,Ujjivan Small Finance Bank,4.1,4200,12400.0,Banking ,Bangalore/Bengaluru
83,Max Life Insurance,4.1,4200,16400.0,Insurance ,Gurgaon/Gurugram
84,Muthoot Finance,3.5,4200,11700.0,NBFC ,Kochi/Cochin
85,Oracle,3.8,4200,59000.0,Software Product ,Austin
86,Shapoorji Pallonji Group,4.2,4200,15400.0,Engineering & Construction ,Mumbai
87,KPMG India,3.6,4100,62400.0,Management Consulting ,Bengaluru/Bangalore
88,Aurobindo Pharma,4.0,4100,22000.0,Pharma ,Hyderabad/Secunderabad
89,OPPO,3.9,4100,13800.0,Consumer Electronics & Appliances ,Dongguan
90,eClerx,3.4,4100,26800.0,IT Services & Consulting ,Mumbai
91,Capgemini Technology Services India Limited,4.0,4100,45300.0,IT Services & Consulting ,Bengaluru/Bangalore
92,Tata Projects,4.2,4100,19100.0,Engineering & Construction ,Mumbai
93,Shriram Transport Finance,4.1,4000,9600.0,NBFC ,Mumbai
94,Ashok Leyland,4.1,4000,18300.0,Automobile ,Chennai
95,Siemens,4.2,4000,29900.0,Power ,Munich
96,Apollo Hospitals,4.1,4000,15000.0,Healthcare ,Chennai
97,JLL,4.2,4000,19800.0,Real Estate ,Mumbai
98,Vivo,4.0,4000,13800.0,Consumer Electronics & Appliances ,Gurgaon/Gurugram
99,L&T Construction,4.0,3900,14200.0,Engineering & Construction ,Chennai
100,First Source,3.8,3900,19800.0,BPO ,Mumbai
101,Omega Healthcare,3.8,3900,19600.0,Healthcare ,Florida
102,JustDial,3.5,3900,14600.0,Internet ,Mumbai
103,Hero MotoCorp,4.1,3800,14300.0,Automobile ,Gurgaon/Gurugram
104,Hewlett-Packard Enterprise,4.3,3800,31700.0,Emerging Technologies ,Houston
105,Megha Engineering & Infrastructures,4.0,3700,14400.0,Engineering & Construction ,Hyderabad/Secunderabad
106,Bajaj Allianz Life Insurance,4.1,3700,15000.0,Insurance ,Pune
107,Mahindra & Mahindra Financial Services,4.3,3700,10800.0,NBFC ,Mumbai
108,Cyient,3.8,3700,25900.0,IT Services & Consulting ,Hyderabad/Secunderabad
