Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel_Rarely,Sales,1,2,Life Sciences,0,2,Sales Executive,4,0,5993,8,1,11,3,1,8,0,1,6,0,5
49,0,Travel_Frequently,Research & Development,8,1,Life Sciences,1,2,Research Scientist,2,1,5130,1,0,23,4,4,10,3,3,10,1,7
37,1,Travel_Rarely,Research & Development,2,2,Other,1,1,Laboratory Technician,3,0,2090,6,1,15,3,2,7,3,3,0,0,0
33,0,Travel_Frequently,Research & Development,3,4,Life Sciences,0,1,Research Scientist,3,1,2909,1,1,11,3,3,8,3,3,8,3,0
27,0,Travel_Rarely,Research & Development,2,1,Medical,1,1,Laboratory Technician,2,1,3468,9,0,12,3,4,6,3,3,2,2,2
32,0,Travel_Frequently,Research & Development,2,2,Life Sciences,1,1,Laboratory Technician,4,0,3068,0,0,13,3,3,8,2,2,7,3,6
59,0,Travel_Rarely,Research & Development,3,3,Medical,0,1,Laboratory Technician,1,1,2670,4,1,20,4,1,12,3,2,1,0,0
30,0,Travel_Rarely,Research & Development,24,1,Life Sciences,1,1,Laboratory Technician,3,2,2693,1,0,22,4,2,1,2,3,1,0,0
38,0,Travel_Frequently,Research & Development,23,3,Life Sciences,1,3,Manufacturing Director,3,0,9526,0,0,21,4,2,10,2,3,9,1,8
36,0,Travel_Rarely,Research & Development,27,3,Medical,1,2,Healthcare Representative,3,1,5237,6,0,13,3,2,17,3,2,7,7,7
35,0,Travel_Rarely,Research & Development,16,3,Medical,1,1,Laboratory Technician,2,1,2426,0,0,13,3,3,6,5,3,5,0,3
29,0,Travel_Rarely,Research & Development,15,2,Life Sciences,0,2,Laboratory Technician,3,0,4193,0,1,12,3,4,10,3,3,9,0,8
31,0,Travel_Rarely,Research & Development,26,1,Life Sciences,1,1,Research Scientist,3,2,2911,1,0,17,3,4,5,1,2,5,4,3
34,0,Travel_Rarely,Research & Development,19,2,Medical,1,1,Laboratory Technician,4,2,2661,0,0,11,3,3,3,2,3,2,1,2
28,1,Travel_Rarely,Research & Development,24,3,Life Sciences,1,1,Laboratory Technician,3,0,2028,5,1,14,3,2,6,4,3,4,0,3
