Age,Attrition,DistanceFromHome,Education,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
41,Yes,1,2,2,4,5993,8,Yes,11,3,1,8,0,1,6,0,5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
49,No,8,1,2,2,5130,1,No,23,4,4,10,3,3,10,1,7,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
37,Yes,2,2,1,3,2090,6,Yes,15,3,2,7,3,3,0,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
33,No,3,4,1,3,2909,1,Yes,11,3,3,8,3,3,8,3,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27,No,2,1,1,2,3468,9,No,12,3,4,6,3,3,2,2,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
32,No,2,2,1,4,3068,0,No,13,3,3,8,2,2,7,3,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
59,No,3,3,1,1,2670,4,Yes,20,4,1,12,3,2,1,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
30,No,24,1,1,3,2693,1,No,22,4,2,1,2,3,1,0,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
38,No,23,3,3,3,9526,0,No,21,4,2,10,2,3,9,1,8,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
36,No,27,3,2,3,5237,6,No,13,3,2,17,3,2,7,7,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
